Dragonfly by Dennis James Stelmach following the Dragonfly book available at https://dragonfly.wpi.edu/book/
      | 00:46:57.968 | LogManager       | Started.
      | 00:46:58.528 | Object 1         | Spawned. Awaiting sprite or manual insert for world insertion.
      | 00:46:58.528 | TestObject 1     | Renamed TestObject.
      | 00:46:58.528 | TestObject 1     | Sprite set to 'good-spr'.
      | 00:46:58.528 | SceneGraph       | Inserting object 'TestObject 1'
      | 00:46:58.528 | Object 2         | Spawned. Awaiting sprite or manual insert for world insertion.
      | 00:46:58.528 | TestObject 2     | Renamed TestObject.
      | 00:46:58.528 | TestObject 2     | Sprite set to 'good-spr'.
      | 00:46:58.528 | SceneGraph       | Inserting object 'TestObject 2'
      | 00:46:58.528 | Clock            | Delta clock started. Reported start time: 00:46:58.528 UTC
ALERT | 00:46:58.528 | GameManager      | --------START GAME LOOP--------
ALERT | 00:46:58.532 | TestObject 0     | Mouse Event.
ALERT | 00:46:58.532 | TestObject 1     | Mouse Event.
ALERT | 00:46:58.532 | TestObject 2     | Mouse Event.
ALERT | 00:46:58.620 | TestObject 0     | Mouse Event.
ALERT | 00:46:58.620 | TestObject 1     | Mouse Event.
ALERT | 00:46:58.620 | TestObject 2     | Mouse Event.
ALERT | 00:46:58.653 | TestObject 0     | Mouse Event.
ALERT | 00:46:58.653 | TestObject 1     | Mouse Event.
ALERT | 00:46:58.653 | TestObject 2     | Mouse Event.
ALERT | 00:46:58.687 | TestObject 0     | Mouse Event.
ALERT | 00:46:58.687 | TestObject 1     | Mouse Event.
ALERT | 00:46:58.687 | TestObject 2     | Mouse Event.
ALERT | 00:46:58.721 | TestObject 0     | Mouse Event.
ALERT | 00:46:58.721 | TestObject 1     | Mouse Event.
ALERT | 00:46:58.721 | TestObject 2     | Mouse Event.
ALERT | 00:46:58.755 | TestObject 0     | Mouse Event.
ALERT | 00:46:58.755 | TestObject 1     | Mouse Event.
ALERT | 00:46:58.755 | TestObject 2     | Mouse Event.
ALERT | 00:46:59.129 | TestObject 0     | Hard Out Event.
ALERT | 00:46:59.843 | TestObject 0     | Mouse Event.
ALERT | 00:46:59.843 | TestObject 1     | Mouse Event.
ALERT | 00:46:59.843 | TestObject 2     | Mouse Event.
ALERT | 00:46:59.911 | TestObject 0     | Mouse Event.
ALERT | 00:46:59.911 | TestObject 1     | Mouse Event.
ALERT | 00:46:59.911 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.523 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.523 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.523 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.557 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.557 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.557 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.591 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.591 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.591 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.625 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.625 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.625 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.659 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.659 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.659 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.693 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.693 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.693 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.727 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.727 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.727 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.761 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.761 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.761 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.795 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.795 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.795 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.829 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.830 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.830 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.830 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.830 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.830 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.863 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.863 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.863 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.897 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.897 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.897 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.931 | TestObject 0     | Mouse Event.
ALERT | 00:47:00.931 | TestObject 1     | Mouse Event.
ALERT | 00:47:00.931 | TestObject 2     | Mouse Event.
ALERT | 00:47:00.931 | TestObject 2     | Collision Event.
ALERT | 00:47:00.931 | TestObject 1     | Collision Event.
ALERT | 00:47:01.339 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.339 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.339 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.373 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.373 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.373 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.407 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.407 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.407 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.441 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.441 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.441 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.475 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.475 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.475 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.509 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.509 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.509 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.543 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.543 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.543 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.577 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.577 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.577 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.611 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.611 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.611 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.645 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.645 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.645 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.679 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.679 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.679 | TestObject 2     | Mouse Event.
ALERT | 00:47:01.713 | TestObject 0     | Mouse Event.
ALERT | 00:47:01.713 | TestObject 1     | Mouse Event.
ALERT | 00:47:01.713 | TestObject 2     | Mouse Event.
ALERT | 00:47:02.019 | TestObject 0     | Mouse Event.
ALERT | 00:47:02.020 | TestObject 1     | Mouse Event.
ALERT | 00:47:02.020 | TestObject 2     | Mouse Event.
ALERT | 00:47:02.053 | TestObject 0     | Mouse Event.
ALERT | 00:47:02.053 | TestObject 1     | Mouse Event.
ALERT | 00:47:02.053 | TestObject 2     | Mouse Event.
ALERT | 00:47:02.461 | TestObject 0     | Mouse Event.
ALERT | 00:47:02.462 | TestObject 1     | Mouse Event.
ALERT | 00:47:02.462 | TestObject 2     | Mouse Event.
ALERT | 00:47:02.495 | TestObject 0     | Mouse Event.
ALERT | 00:47:02.495 | TestObject 1     | Mouse Event.
ALERT | 00:47:02.495 | TestObject 2     | Mouse Event.
ALERT | 00:47:02.529 | TestObject 0     | Mouse Event.
ALERT | 00:47:02.529 | TestObject 1     | Mouse Event.
ALERT | 00:47:02.529 | TestObject 2     | Mouse Event.
ALERT | 00:47:02.563 | TestObject 0     | Mouse Event.
ALERT | 00:47:02.563 | TestObject 1     | Mouse Event.
ALERT | 00:47:02.563 | TestObject 2     | Mouse Event.
ALERT | 00:47:02.597 | TestObject 0     | Mouse Event.
ALERT | 00:47:02.597 | TestObject 1     | Mouse Event.
ALERT | 00:47:02.597 | TestObject 2     | Mouse Event.
ALERT | 00:47:03.654 | TestObject 1     | Kill time reached.
ALERT | 00:47:03.654 | TestObject 2     | Kill time reached.
ALERT | 00:47:03.684 | GameManager      | ---------END GAME LOOP---------
      | 00:47:03.684 | ResourceManager  | Unloading sprite 'good-spr'.
      | 00:47:03.684 | ResourceManager  | Sprite 'good-spr' unloaded.
      | 00:47:03.684 | ResourceManager  | Unloading sprite 'bad-spr'.
ALERT | 00:47:03.684 | ResourceManager  | Cannot unload sprite 'bad-spr'. Sprite not found.
      | 00:47:03.684 | ResourceManager  | Unloading sound 'explode'.
      | 00:47:03.686 | ResourceManager  | Sound 'explode' unloaded.
      | 00:47:03.686 | ResourceManager  | Unloading sound 'fire'.
      | 00:47:03.689 | ResourceManager  | Sound 'fire' unloaded.
      | 00:47:03.689 | ResourceManager  | Unloading sound 'game-over'.
      | 00:47:03.691 | ResourceManager  | Sound 'game-over' unloaded.
      | 00:47:03.691 | ResourceManager  | Unloading sound 'nuke'.
      | 00:47:03.692 | ResourceManager  | Sound 'nuke' unloaded.
      | 00:47:03.692 | ResourceManager  | Unloading music 'start_music'.
      | 00:47:03.692 | ResourceManager  | Music 'start_music' unloaded.
      | 00:47:03.692 | GameManager      | Stopping managers.
      | 00:47:03.692 | InputManager     | Stopped.
      | 00:47:03.692 | WorldManager     | Killing all Objects.
ALERT | 00:47:03.692 | TestObject 0     | Die.
ALERT | 00:47:03.692 | TestObject 1     | Die.
ALERT | 00:47:03.692 | TestObject 2     | Die.
      | 00:47:03.692 | WorldManager     | Stopped.
      | 00:47:03.692 | DisplayManager   | Closing window.
      | 00:47:03.703 | DisplayManager   | Stopped.
      | 00:47:03.703 | LogManager       | Stopping...
